Name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,Tz_timezone
A 511 Airport,Pyongtaek,South Korea,\N,RKSG,36.96220016,127.0309982,51,9,U,Asia/Seoul
A Coruña Airport,La Coruna,Spain,LCG,LECO,43.302101,-8.37726,326,1,E,Europe/Madrid
Aachen-Merzbrück Airport,Aachen,Germany,AAH,EDKA,50.82305527,6.186388969,623,1,E,Europe/Berlin
Aalborg Airport,Aalborg,Denmark,AAL,EKYT,57.09275891,9.849243164,10,1,E,Europe/Copenhagen
Aalen-Heidenheim/Elchingen Airport,Aalen-heidenheim,Germany,\N,EDPA,48.77777863,10.26472187,1916,1,E,Europe/Berlin
Aarhus Airport,Aarhus,Denmark,AAR,EKAH,56.29999924,10.61900043,82,1,E,Europe/Copenhagen
Aasiaat Airport,Aasiaat,Greenland,JEG,BGAA,68.72180176,-52.78469849,74,-3,E,America/Godthab
Aba Tenna Dejazmach Yilma International Airport,Dire Dawa,Ethiopia,DIR,HADR,9.624699593,41.85419846,3827,3,U,Africa/Addis_Ababa
Abadan Airport,Abadan,Iran,ABD,OIAA,30.37109947,48.22829819,10,3.5,E,Asia/Tehran
Abakan Airport,Abakan,Russia,ABA,UNAA,53.74000168,91.38500214,831,7,N,Asia/Krasnoyarsk
Abbeville,Abbeville,France,XAB,LFOI,50.143501,1.831891,220,1,E,Europe/Paris
Abbotsford Airport,Abbotsford,Canada,YXX,CYXX,49.02529907,-122.3610001,195,-8,A,America/Vancouver
Abdul Rachman Saleh Airport,Malang,Indonesia,MLG,WARA,-7.926559925,112.7149963,1726,7,N,Asia/Jakarta
Abeche Airport,Abeche,Chad,AEH,FTTC,13.84700012,20.84429932,1788,1,N,Africa/Ndjamena
Abeid Amani Karume International Airport,Zanzibar,Tanzania,ZNZ,HTZA,-6.22202,39.224899,54,3,U,Africa/Dar_es_Salaam
Abel Santamaria Airport,Santa Clara,Cuba,SNU,MUSC,22.49220085,-79.94360352,338,-5,U,America/Havana
Aberdeen Dyce Airport,Aberdeen,United Kingdom,ABZ,EGPD,57.20190048,-2.197779894,215,0,E,Europe/London
Aberdeen Regional Airport,Aberdeen,United States,ABR,KABR,45.44910049,-98.42179871,1302,-6,A,America/Chicago
Abha Regional Airport,Abha,Saudi Arabia,AHB,OEAB,18.24040031,42.65660095,6858,3,U,Asia/Riyadh
Abilene Regional Airport,Abilene,United States,ABI,KABI,32.41130066,-99.68190002,1791,-6,A,America/Chicago
Abqaiq Airport,Abqaiq,Saudi Arabia,\N,OEBQ,25.91130066,49.59120178,229,3,U,Asia/Riyadh
Abraham González International Airport,Ciudad Juarez,Mexico,CJS,MMCS,31.63610077,-106.4290009,3904,-7,S,America/Mazatlan
Abraham Lincoln Capital Airport,Springfield,United States,SPI,KSPI,39.84410095,-89.67790222,598,-6,A,America/Chicago
